"County","e0"
"Adams",78.2653019927394
"Asotin",78.8787166438154
"Benton",80.2692919683069
"Chelan",80.2557881383465
"Clallam",79.2307882769331
"Clark",79.9133700294759
"Columbia",79.5546176836433
"Cowlitz",77.8392980030264
"Douglas",80.7539964142002
"Ferry",77.1904539332821
"Franklin",81.1435374841145
"Garfield",83.0032962206906
"Grant",79.1344359338062
"Grays Harbor",77.2201736733772
"Island",82.2131996642751
"Jefferson",81.9451579605578
"King",81.7305369421965
"Kitsap",80.670987304184
"Kittitas",81.0645237833424
"Klickitat",81.9239025289263
"Lewis",78.1282744063901
"Lincoln",81.3888029020312
"Mason",78.7765039657703
"Okanogan",78.4201337895422
"Pacific",77.7607969972213
"Pend Oreille",77.9600261709138
"Pierce",79.0646861860207
"San Juan",83.9600625316423
"Skagit",79.8615887842241
"Skamania",82.5315254810595
"Snohomish",80.2718170351518
"Spokane",78.6221469938245
"Stevens",78.4535550820133
"Thurston",80.2840788155706
"Wahkiakum",78.22292254385
"Walla Walla",80.2394828880628
"Whatcom",81.0814654616981
"Whitman",79.5165977081639
"Yakima",78.7840882771853
